年度,時間割コード,Score
2018,1H005,0
2018,1H021,2
2018,1H022,6
2018,1H045,6
2018,1H301,6
2018,1H310,6
2018,1U193,6
2018,1U223,2
2018,1U310,3
2018,1U565,6
2018,1U605,6
2018,1U713,3
2018,1U8H3,0
2018,2H022,3
2018,2H025,3
2018,2H049,3
2018,2H301,2
2018,2H310,3
2018,2U026,9
2018,2U035,3
2018,2U102,6
2018,2U105,2
2018,2U193,2
2018,2U223,2
2018,2U310,3
2018,2U565,3
2018,2U605,9
2018,2U713,3
2018,3H023,0
2018,3H026,3
2018,3H032,6
2018,3H303,3
2018,3H312,3
2018,3H316,6
2018,3H327,6
2018,3U031,9
2018,3U069,3
2018,3U087,3
2018,3U195,3
2018,3U223,3
2018,3U565,9
2018,3U604,6
2018,4H026,2
2018,4H029,2
2018,4H303,6
2018,4H312,6
2018,4H316,2
2018,4H327,6
2018,4U020,9
2018,4U027,3
2018,4U110,3
2018,4U195,6
2018,4U223,6
2018,4U565,9
2018,4U604,9
2019,1H023,3
2019,1H037,3
2019,1H069,3
2019,1H074,6
2019,1H329,3
2019,1H330,6
2019,1H347,6
2019,1H361,3
2019,1H375,6
2019,1H403,6
2019,1U026,3
2019,1U066,0
2019,1U069,3
2019,2H037,0
2019,2H329,3
2019,2H330,2
2019,2H335,2
2019,2H347,6
2019,2H361,3
2019,2H375,3
2019,2U090,3
2019,2U097,0
2019,3H078,0
2019,3H338,3
2019,3H345,3
2019,3H348,2
2019,3H349,3
2019,3H376,2
2019,3H378,3
2019,3H381,6
2019,3H422,6
2019,3U107,3
2019,4H048,6
2019,4H338,0
2019,4H345,3
2019,4H348,0
2019,4H349,2
2019,4H376,2
2019,4H422,6
